306	"allegation"	3.26	1.24	19	5.9	1.3	21
307	"alleged"	3.62	1.86	21	5.09	2.11	23
308	"allegiance"	5.8	1.67	20	5.17	2.21	23
309	"allegro"	5	1.65	20	3.89	2.95	18
310	"allergic"	3	1.86	20	5.4	2.44	20
311	"allergy"	2.9	1.55	41	3.9	2.17	21
312	"alleviate"	6.25	1.41	20	3.45	2.32	22
313	"alley"	4.17	1.63	41	4.08	2.28	38
314	"alleyway"	3.46	1.72	24	3.7	2.69	23
315	"alliance"	6.14	1.77	21	4.4	2.74	20
316	"allied"	5.95	1.36	20	3.38	1.94	21
317	"alligator"	4.23	1.88	22	5.36	2.3	22
318	"allow"	6.39	1.75	18	2.95	1.75	21
319	"allowance"	6.74	1.37	19	4.05	2.11	21
320	"alloy"	5.2	1.85	20	3.32	2.06	22
321	"allure"	6.9	0.97	20	4.25	2.55	20
322	"alluring"	6.74	1.41	19	4.35	2.46	20
323	"ally"	6.05	2.4	22	4.8	2.44	20
324	"almanac"	5.55	1.19	20	3.24	2.05	21
325	"almighty"	6.15	2.16	20	4.59	2.61	22
326	"almond"	6.05	1.85	20	2.89	2.13	19
327	"aloha"	7.1	1.26	21	3.82	2.13	22
328	"alone"	3.85	2.23	20	4	2.72	41
329	"aloof"	4.59	2.16	41	3.09	1.99	43
330	"alpha"	5.5	2.24	20	3.67	2.63	21
331	"alphabet"	5.95	1.94	21	3.15	2.25	20
332	"alphabetical"	6.32	1.42	19	3	1.7	21
333	"alpine"	5.84	0.76	19	3.52	1.89	21
334	"altar"	5.59	2.15	22	4.05	2.62	21
335	"altar boy"	4.76	1.41	21	3.11	2.13	19
336	"alter"	4.57	1.29	21	4.17	2.19	23
337	"alteration"	5.05	1.84	19	4.05	2.35	20
338	"altercation"	3.61	1.64	23	5.62	2.75	21
339	"alternate"	5.15	0.81	20	3.48	1.89	21
340	"alternating"	5.37	1.54	19	4.27	2.14	22
341	"alternative"	5.33	1.43	21	3.61	2.74	23
342	"altimeter"	4.5	0.96	22	3.61	2.1	23
343	"altitude"	5.27	1.72	22	4.15	2.52	26
344	"aluminum"	5.1	1.68	20	4.05	2.24	20
345	"alumnus"	4.95	1.5	21	3.23	2	22
346	"alzheimers"	2.26	1.82	19	4.5	2.35	22
347	"amaretto"	6	1.9	21	4.04	2.4	23
348	"amateur"	4.58	1.17	19	3.55	2.09	20
349	"amaze"	7.24	2	21	5	2.25	20
350	"amazed"	7.55	0.89	20	5.95	2.68	22
351	"amazement"	7.29	1.9	24	6.3	2.51	23
352	"amazing"	7.72	1.32	18	6.05	2.52	21
353	"ambassador"	5.5	1.54	22	3.91	2.16	22
354	"amber"	6.15	1.79	20	3.36	1.84	22
355	"ambience"	6.35	1.87	20	3.85	2.87	20
356	"ambient"	6.33	1.8	21	3.2	2.53	20
357	"ambiguous"	5.16	1.64	19	4	2.61	21
358	"ambition"	7.28	1.62	40	4.86	2.38	44
359	"ambitious"	6.33	1.74	21	5.76	1.81	21
360	"ambrosia"	5.95	1.94	21	4.05	2.31	20
361	"ambulance"	3.71	2.11	41	5.33	2.94	21
362	"ambush"	3.17	1.89	18	5.58	2.81	19
363	"amend"	5.85	1.87	20	3.06	2.1	18
364	"amendment"	5.6	1.19	20	3.5	1.92	18
365	"amends"	6.68	1.8	19	3.95	2.21	20
366	"amiable"	6.7	1.42	20	2.85	1.63	20
367	"amino"	4.45	1.88	20	3.83	1.97	24
368	"ammo"	4.18	2.24	22	5.53	2.34	19
369	"ammonia"	3.74	1.69	19	3	2.02	22
370	"ammonium"	4.06	1.63	18	4.37	2.61	19
371	"ammunition"	4.59	2.5	22	5.7	2.27	23
372	"amnesia"	3.43	1.69	21	5.04	2.48	23
373	"amnesty"	5.38	2.22	21	3.86	2.33	21
374	"amorous"	5.95	1.88	21	4.21	3.05	24
375	"amount"	5.42	0.61	19	3.53	1.98	19
376	"amour"	6.43	1.89	21	5.43	2.57	23
377	"amp"	5.79	1.44	19	5.05	2.36	21
378	"amphibian"	5.4	1.88	20	3.35	2.15	17
379	"amphibious"	5.75	1.71	20	5.7	1.75	20
380	"ample"	5.89	2.21	19	3.28	2.14	18
381	"amputate"	2.1	1.45	20	5.43	2.37	23
382	"amputation"	1.84	1.26	19	4.86	2.76	21
383	"amuck"	4	2.08	19	4.41	2.26	22
384	"amulet"	5.75	1.8	20	3.95	2.29	21
385	"amuse"	7.1	1.37	20	5.17	1.99	23
386	"amused"	7.05	1.28	21	4.27	2.76	22
387	"amusement"	7	1.56	19	4.82	2.7	22
388	"amusing"	7.6	1.31	20	5.18	2.11	22
389	"anaconda"	4.43	2.66	21	6	2.13	20
390	"anagram"	4.37	1.89	19	3.86	1.96	21
391	"anal"	4	2.51	21	4.29	2.77	24
392	"analogy"	5.24	2.07	21	3.95	2.27	19
393	"analysis"	5.25	1.59	20	3.74	1.94	19
394	"analyst"	5	0.79	20	3.24	2.12	21
395	"analytical"	6	1.91	19	4.13	1.91	23
396	"analyze"	5.65	1.39	20	4.1	2.17	21
397	"analyzer"	4.62	1.56	21	3.48	2.37	23
398	"anaphylactic"	4	1.89	19	5.57	2.77	21
399	"anarchist"	2.76	1.87	21	4.16	1.97	25
400	"anarchy"	3.68	2	19	4.86	2.64	22
401	"anatomy"	6.29	1.01	21	4.43	2.4	21
402	"ancestor"	6.37	1.16	19	3.73	2.41	22
403	"ancestral"	6.6	1.6	20	3.6	2.37	20
404	"ancestry"	6.29	1.82	21	3.71	2.24	21
405	"anchor"	5.16	2.17	19	3.32	2.08	22
406	"anchorage"	5.09	1.72	22	3.82	2.26	22
407	"ancient"	7.24	1.18	21	3.48	1.97	21
408	"android"	5.62	2.33	21	3.5	2.41	24
409	"anecdote"	5.62	1.36	21	4.65	2.55	23
410	"anemia"	3.05	2.04	21	4.09	2.39	23
411	"anemic"	3.45	1.19	20	3.45	1.79	20
412	"anesthesia"	4.84	2.06	19	3.64	2.06	22
413	"anesthesiologist"	4.95	2.11	20	3.56	2.25	18
